sent_id,sys_name,sys_type,orig_sent,simp_sent,grammaticality,meaning,simplicity,structural_simplicity
1,NTS-h1_default_model,NeuralSeq2Seq,"One side of the armed conflicts is composed mainly of the Sudanese military and the Janjaweed, a Sudanese militia group recruited mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.","One side of the armed conflicts is composed mainly of the Sudanese military and the Janjaweed, a Sudanese militia group recruited mostly from the Afro-Arab Abbala tribes of the northern Rizeigat region in Sudan.",5,5,0,0
2,NTS-h1_default_model,NeuralSeq2Seq,"Jeddah is the principal gateway to Mecca, Islam's holiest city, which able-bodied Muslims are required to visit at least once in their lifetime.","Jeddah is the main gateway to Mecca, Islam 's holiest city, which able-bodied Muslims are required to visit at least once in their lifetime.",5,5,0.333333333,0
3,NTS-h1_default_model,NeuralSeq2Seq,The Great Dark Spot is thought to represent a hole in the methane cloud deck of Neptune.,The Great Dark Spot is thought to represent a hole in the methane cloud deck of Neptune.,5,5,0,0
4,NTS-h1_default_model,NeuralSeq2Seq,"His next work, Saturday, follows an especially eventful day in the life of a successful neurosurgeon.","His next work, Saturday, follows an especially eventful day in the life of a successful neurosurgeon.",4.666666667,5,0,0
5,NTS-h1_default_model,NeuralSeq2Seq,"The tarantula, the trickster character, spun a black cord and, attaching it to the ball, crawled away fast to the east, pulling on the cord with all his strength.","The tarantula, the trickster character, spun a black cord.",5,1.666666667,1.666666667,1.666666667
6,NTS-h1_default_model,NeuralSeq2Seq,"There he died six weeks later, on 13 January 888.","There he died six weeks later, on 13 January 888.",5,5,0,0
7,NTS-h1_default_model,NeuralSeq2Seq,They are culturally akin to the coastal peoples of Papua New Guinea.,They are culturally akin to the coastal peoples of Papua New Guinea.,5,5,0,0
8,NTS-h1_default_model,NeuralSeq2Seq,"Since 2000, the recipient of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.","Since 2000, the winner of the Kate Greenaway Medal has also been presented with the Colin Mears Award to the value of £5000.",5,5,0,0
9,NTS-h1_default_model,NeuralSeq2Seq,"Following the drummers are dancers, who often play the sogo (a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.","Following the drummers are dancers, who often play the sogo (a tiny drum that makes almost no sound) and tend to have more elaborate — even acrobatic — choreography.",5,5,0,0
10,NTS-h1_default_model,NeuralSeq2Seq,"The spacecraft consists of two main elements: the NASA Cassini orbiter, named after the Italian-French astronomer Giovanni Domenico Cassini, and the ESA Huygens probe, named after the Dutch astronomer, mathematician and physicist Christiaan Huygens.",The spacecraft is named after the Italian-French astronomer Giovanni Domenico Cassini.,5,1,1.666666667,1.666666667
11,NTS-h1_default_model,NeuralSeq2Seq,"Alessandro (""Sandro"") Mazzola (born 8 November 1942) is an Italian former football player.","Alessandro (""Sandro"") Mazzola (born 8 November 1942) is an Italian football player.",4,4.666666667,0,0
12,NTS-h1_default_model,NeuralSeq2Seq,It was originally thought that the debris thrown up by the collision filled in the smaller craters.,It was originally thought that the debris thrown up by the collision filled in the smaller craters.,5,5,0,0
13,NTS-h1_default_model,NeuralSeq2Seq,"Graham attended Wheaton College from 1939 to 1943, when he graduated with a BA in anthropology.",Graham graduated from Wheaton College in 1939.,5,2.333333333,1.666666667,1.666666667
14,NTS-h1_default_model,NeuralSeq2Seq,"However, the BZÖ differs a bit in comparison to the Freedom Party, as is in favor of a referendum about the Lisbon Treaty but against an EU-Withdrawal.",The BZÖ is in favor of a referendum about the Lisbon Treaty.,5,2,2,2
15,NTS-h1_default_model,NeuralSeq2Seq,"Many species had vanished by the end of the nineteenth century, with European settlement.","Many species had vanished by the end of the nineteenth century, with European settlement.",5,5,0,0
16,NTS-h1_default_model,NeuralSeq2Seq,In 1987 Wexler was inducted into the Rock and Roll Hall of Fame.,In 1987 Wexler was inducted into the Rock and Roll Hall of Fame.,5,5,0,0
17,NTS-h1_default_model,NeuralSeq2Seq,"In its pure form, dextromethorphan occurs as a white powder.","In its pure form, dextromethorphan occurs as a white powder.",5,5,0,0
18,NTS-h1_default_model,NeuralSeq2Seq,Admission to Tsinghua is extremely competitive.,Admission to Tsinghua is extremely competitive.,4.666666667,5,0,0
19,NTS-h1_default_model,NeuralSeq2Seq,"Today NRC is organised as an independent, private foundation.","Today it is an independent, private foundation.",5,2.333333333,1.333333333,1
20,NTS-h1_default_model,NeuralSeq2Seq,"It is situated at the coast of the Baltic Sea, where it encloses the city of Stralsund.","It is at the coast of the Baltic Sea, where it encloses the city of Stralsund.",4.666666667,5,0.666666667,0.333333333
21,NTS-h1_default_model,NeuralSeq2Seq,"He was also named 1982 ""Sportsman of the Year"" by Sports Illustrated.","He was also named 1982 ""Sportsman of the Year"" by Sports Illustrated.",5,5,0,0
22,NTS-h1_default_model,NeuralSeq2Seq,Fives is a British sport believed to derive from the same origins as many racquet sports.,Fives is a British sport believed to come from the same origins as many racquet sports.,4.666666667,5,0.666666667,0
23,NTS-h1_default_model,NeuralSeq2Seq,"For example, King Bhumibol was born on Monday, so on his birthday throughout Thailand will be decorated with yellow color.","For example, King Bhumibol was born on Monday, so on his birthday throughout Thailand will be decorated with yellow color.",4,5,0,0
24,NTS-h1_default_model,NeuralSeq2Seq,Both names became defunct in 2007 when they were merged into The National Museum of Scotland.,Both names became defunct in 2007 when they were merged into The National Museum of Scotland.,4.666666667,5,0,0
25,NTS-h1_default_model,NeuralSeq2Seq,"Nevertheless, Tagore emulated numerous styles, including craftwork from northern New Ireland, Haida carvings from the west coast of Canada (British Columbia), and woodcuts by Max Pechstein.","Nevertheless, Tagore dominated numerous styles, including craftwork from northern New Ireland, Haida carvings from the west coast of Canada (British Columbia), and woodcuts by Max Pechstein.",4.666666667,4,0,-0.333333333
26,NTS-h1_default_model,NeuralSeq2Seq,"On October 14, 1960, Presidential candidate John F. Kennedy proposed the concept of what became the Peace Corps on the steps of Michigan Union.","On October 14, 1960, Presidential candidate John F. Kennedy proposed the concept of what became the Peace Corps on the steps of Michigan Union.",5,5,0,0
27,NTS-h1_default_model,NeuralSeq2Seq,"She performed for President Reagan in 1988's Great Performances at the White House series, which aired on the Public Broadcasting Service.","She performed for President Reagan in 1988 's Great Performances at the White House series, which aired on the Public Broadcasting Service.",5,5,0,0
28,NTS-h1_default_model,NeuralSeq2Seq,Perry Saturn (with Terri) defeated Eddie Guerrero (with Chyna) to win the WWF European Championship (8:10) Saturn pinned Guerrero after a Diving elbow drop.,He defeated Eddie Guerrero (with Chyna) to win the WWF European Championship (8: 10) Saturn pinned Guerrero after a Diving elbow drop.,4.333333333,3.666666667,0.333333333,0.333333333
29,NTS-h1_default_model,NeuralSeq2Seq,She remained in the United States until 1927 when she and her husband returned to France.,She remained in the United States until 1927 when she and her husband returned to France.,4.666666667,5,0,0
30,NTS-h1_default_model,NeuralSeq2Seq,"Despina was discovered in late July, 1989 from the images taken by the Voyager 2 probe.","Despina was discovered in late July, 1989 from the images taken by the Voyager 2 probe.",5,5,0,0
31,NTS-h1_default_model,NeuralSeq2Seq,The first Italian Grand Prix motor racing championship took place on 4 September 1921 at Brescia.,The first Italian Grand Prix motor racing championship took place on 4 September 1921 at Brescia.,4.666666667,5,0,0
32,NTS-h1_default_model,NeuralSeq2Seq,He also completed two collections of short stories entitled The Ribbajack & Other Curious Yarns and Seven Strange and Ghostly Tales.,He also completed two collections of short stories entitled The Ribbajack & Other Curious Yarns and Seven Strange and Ghostly Tales.,4.666666667,5,0,0
33,NTS-h1_default_model,NeuralSeq2Seq,"At the Voyager 2 images Ophelia appears as an elongated object, the major axis pointing towards Uranus.","At the Voyager 2 images Ophelia appears as a stretched object, the major axis pointing towards Uranus.",3.666666667,4.666666667,0.333333333,0
34,NTS-h1_default_model,NeuralSeq2Seq,The British decided to eliminate him and take the land by force.,The British decided to eliminate him and take the land by force.,4.666666667,5,0,0
35,NTS-h1_default_model,NeuralSeq2Seq,"Some towns on the Eyre Highway in the south-east corner of Western Australia, between the South Australian border almost as far as Caiguna, do not follow official Western Australian time.","Some towns on the Eyre Highway in the south-east corner of Western Australia, between the South Australian border almost as far as Caiguna, do not follow official Western Australian time.",5,5,0,0
36,NTS-h1_default_model,NeuralSeq2Seq,"In architectural decoration Small pieces of colored and iridescent shell have been used to create mosaics and inlays, which have been used to decorate walls, furniture and boxes.","In architectural decoration Small pieces of colored and iridescent shell have been used to create mosaics and inlays, which have been used to decorate walls, furniture and boxes.",4.333333333,5,0,0
37,NTS-h1_default_model,NeuralSeq2Seq,"The other incorporated cities on the Palos Verdes Peninsula include Rancho Palos Verdes, Rolling Hills Estates and Rolling Hills.",It is on the Palos Verdes Peninsula.,4.666666667,1.333333333,2,2
38,NTS-h1_default_model,NeuralSeq2Seq,"Fearing that Drek will destroy the galaxy, Clank asks Ratchet to help him find the famous superhero Captain Qwark, in an effort to stop Drek.",The video game is called Captain Qwark.,5,1,1.666666667,1.666666667
39,NTS-h1_default_model,NeuralSeq2Seq,It is not actually a true louse.,It is not actually a true louse.,4.666666667,5,0,0
40,NTS-h1_default_model,NeuralSeq2Seq,He advocates applying a user-centered design process in product development cycles and also works towards popularizing interaction design as a mainstream discipline.,He advocates applying a user-centered design process in product development cycles.,5,2.333333333,1.333333333,1.333333333
41,NTS-h1_default_model,NeuralSeq2Seq,"It is theoretically possible that the other editors who may have reported you, and the administrator who blocked you, are part of a conspiracy against someone half a world away they've never met in person.","It is possible that the other editors who may have reported you, are part of a conspiracy against someone half a world away.",4.666666667,2.333333333,1.333333333,1.333333333
42,NTS-h1_default_model,NeuralSeq2Seq,Working Group I: Assesses scientific aspects of the climate system and climate change.,Working Group I: Assesses scientific aspects of the climate system and climate change.,5,5,0,0
43,NTS-h1_default_model,NeuralSeq2Seq,"The island chain forms part of the Hebrides, separated from the Scottish mainland and from the Inner Hebrides by the stormy waters of the Minch, the Little Minch and the Sea of the Hebrides.","The island chain forms part of the Hebrides, separated from the Scottish mainland and from the Inner Hebrides by the stormy waters of the Minch, the Little Minch and the Sea of the Hebrides.",5,5,0,0
44,NTS-h1_default_model,NeuralSeq2Seq,"Orton and his wife welcomed Alanna Marie Orton on July 12, 2008.","Orton and his wife welcomed Alanna Marie Orton on July 12, 2008.",5,5,0,0
45,NTS-h1_default_model,NeuralSeq2Seq,"Formal minor planet designations are number-name combinations overseen by the Minor Planet Center, a branch of the IAU.","Formal minor planet designations are number-name combinations run by the Minor Planet Center, a branch of the IAU.",4,4,0.666666667,0
46,NTS-h1_default_model,NeuralSeq2Seq,"By early on September 30, wind shear began to dramatically increase and a weakening trend began.","By early on September 30, wind shear began to dramatically increase and a weakening trend began.",4.666666667,5,0,0
47,NTS-h1_default_model,NeuralSeq2Seq,Each entry has a datum (a nugget of data) which is a copy of the datum in some backing store.,Each entry has a datum (a nugget of data) which is a copy of the datum in some backing store.,4.666666667,5,0,0
48,NTS-h1_default_model,NeuralSeq2Seq,"As a result, although many mosques will not enforce violations, both men and women when attending a mosque must adhere to these guidelines.","As a result, although many mosques will not enforce violations, both men and women when attending a mosque must adhere to these guidelines.",4.666666667,5,0,0
49,NTS-h1_default_model,NeuralSeq2Seq,"Mariel of Redwall is a fantasy novel by Brian Jacques, published in 1991.","Mariel of Redwall is a fantasy novel by Brian Jacques, published in 1991.",5,5,0,0
50,NTS-h1_default_model,NeuralSeq2Seq,"Ryan Prosser (born 10 July, 1988) is a professional rugby union player for Bristol Rugby in the Guinness Premiership.",Ryan Prosser (born 10 July 1988) is a rugby union player for Bristol Rugby.,5,3.666666667,1,1
51,NTS-h1_default_model,NeuralSeq2Seq,"Like previous assessment reports, it consists of four reports, three of them from its working groups.","Like previous assessment reports, it consists of four reports, three of them from its working groups.",4.666666667,5,0,0
52,NTS-h1_default_model,NeuralSeq2Seq,"Their granddaughter Hélène Langevin-Joliot is a professor of nuclear physics at the University of Paris, and their grandson Pierre Joliot, who was named after Pierre Curie, is a noted biochemist.",Their granddaughter Hélène Langevin-Joliot is a professor of nuclear physics at the University of Paris.,5,2.666666667,1.333333333,1.333333333
53,NTS-h1_default_model,NeuralSeq2Seq,"This stamp remained the standard letter stamp for the remainder of Victoria's reign, and vast quantities were printed.","This stamp remained the standard letter stamp for the remainder of Victoria 's reign, and vast quantities were printed.",4.666666667,5,0,0
54,NTS-h1_default_model,NeuralSeq2Seq,The International Fight League was an American mixed martial arts (MMA) promotion billed as the world's first MMA league.,It is the world 's first MMA league.,4.333333333,2,1.666666667,1.666666667
