sent_id,sys_name,rater_id,structural_simplicity
1,NTS-h1_default_model,1,0
1,NTS-h1_default_model,2,0
1,NTS-h1_default_model,3,0
2,NTS-h1_default_model,1,0
2,NTS-h1_default_model,2,0
2,NTS-h1_default_model,3,0
3,NTS-h1_default_model,1,0
3,NTS-h1_default_model,2,0
3,NTS-h1_default_model,3,0
4,NTS-h1_default_model,1,0
4,NTS-h1_default_model,2,0
4,NTS-h1_default_model,3,0
5,NTS-h1_default_model,1,2
5,NTS-h1_default_model,2,1
5,NTS-h1_default_model,3,2
6,NTS-h1_default_model,1,0
6,NTS-h1_default_model,2,0
6,NTS-h1_default_model,3,0
7,NTS-h1_default_model,1,0
7,NTS-h1_default_model,2,0
7,NTS-h1_default_model,3,0
8,NTS-h1_default_model,1,0
8,NTS-h1_default_model,2,0
8,NTS-h1_default_model,3,0
9,NTS-h1_default_model,1,0
9,NTS-h1_default_model,2,0
9,NTS-h1_default_model,3,0
10,NTS-h1_default_model,1,2
10,NTS-h1_default_model,2,1
10,NTS-h1_default_model,3,2
11,NTS-h1_default_model,1,0
11,NTS-h1_default_model,2,0
11,NTS-h1_default_model,3,0
12,NTS-h1_default_model,1,0
12,NTS-h1_default_model,2,0
12,NTS-h1_default_model,3,0
13,NTS-h1_default_model,1,2
13,NTS-h1_default_model,2,1
13,NTS-h1_default_model,3,2
14,NTS-h1_default_model,1,2
14,NTS-h1_default_model,2,2
14,NTS-h1_default_model,3,2
15,NTS-h1_default_model,1,0
15,NTS-h1_default_model,2,0
15,NTS-h1_default_model,3,0
16,NTS-h1_default_model,1,0
16,NTS-h1_default_model,2,0
16,NTS-h1_default_model,3,0
17,NTS-h1_default_model,1,0
17,NTS-h1_default_model,2,0
17,NTS-h1_default_model,3,0
18,NTS-h1_default_model,1,0
18,NTS-h1_default_model,2,0
18,NTS-h1_default_model,3,0
19,NTS-h1_default_model,1,1
19,NTS-h1_default_model,2,1
19,NTS-h1_default_model,3,1
20,NTS-h1_default_model,1,1
20,NTS-h1_default_model,2,0
20,NTS-h1_default_model,3,0
21,NTS-h1_default_model,1,0
21,NTS-h1_default_model,2,0
21,NTS-h1_default_model,3,0
22,NTS-h1_default_model,1,0
22,NTS-h1_default_model,2,0
22,NTS-h1_default_model,3,0
23,NTS-h1_default_model,1,0
23,NTS-h1_default_model,2,0
23,NTS-h1_default_model,3,0
24,NTS-h1_default_model,1,0
24,NTS-h1_default_model,2,0
24,NTS-h1_default_model,3,0
25,NTS-h1_default_model,1,0
25,NTS-h1_default_model,2,0
25,NTS-h1_default_model,3,-1
26,NTS-h1_default_model,1,0
26,NTS-h1_default_model,2,0
26,NTS-h1_default_model,3,0
27,NTS-h1_default_model,1,0
27,NTS-h1_default_model,2,0
27,NTS-h1_default_model,3,0
28,NTS-h1_default_model,1,0
28,NTS-h1_default_model,2,0
28,NTS-h1_default_model,3,1
29,NTS-h1_default_model,1,0
29,NTS-h1_default_model,2,0
29,NTS-h1_default_model,3,0
30,NTS-h1_default_model,1,0
30,NTS-h1_default_model,2,0
30,NTS-h1_default_model,3,0
31,NTS-h1_default_model,1,0
31,NTS-h1_default_model,2,0
31,NTS-h1_default_model,3,0
32,NTS-h1_default_model,1,0
32,NTS-h1_default_model,2,0
32,NTS-h1_default_model,3,0
33,NTS-h1_default_model,1,0
33,NTS-h1_default_model,2,0
33,NTS-h1_default_model,3,0
34,NTS-h1_default_model,1,0
34,NTS-h1_default_model,2,0
34,NTS-h1_default_model,3,0
35,NTS-h1_default_model,1,0
35,NTS-h1_default_model,2,0
35,NTS-h1_default_model,3,0
36,NTS-h1_default_model,1,0
36,NTS-h1_default_model,2,0
36,NTS-h1_default_model,3,0
37,NTS-h1_default_model,1,2
37,NTS-h1_default_model,2,2
37,NTS-h1_default_model,3,2
38,NTS-h1_default_model,1,2
38,NTS-h1_default_model,2,1
38,NTS-h1_default_model,3,2
39,NTS-h1_default_model,1,0
39,NTS-h1_default_model,2,0
39,NTS-h1_default_model,3,0
40,NTS-h1_default_model,1,1
40,NTS-h1_default_model,2,1
40,NTS-h1_default_model,3,2
41,NTS-h1_default_model,1,1
41,NTS-h1_default_model,2,1
41,NTS-h1_default_model,3,2
42,NTS-h1_default_model,1,0
42,NTS-h1_default_model,2,0
42,NTS-h1_default_model,3,0
43,NTS-h1_default_model,1,0
43,NTS-h1_default_model,2,0
43,NTS-h1_default_model,3,0
44,NTS-h1_default_model,1,0
44,NTS-h1_default_model,2,0
44,NTS-h1_default_model,3,0
45,NTS-h1_default_model,1,0
45,NTS-h1_default_model,2,0
45,NTS-h1_default_model,3,0
46,NTS-h1_default_model,1,0
46,NTS-h1_default_model,2,0
46,NTS-h1_default_model,3,0
47,NTS-h1_default_model,1,0
47,NTS-h1_default_model,2,0
47,NTS-h1_default_model,3,0
48,NTS-h1_default_model,1,0
48,NTS-h1_default_model,2,0
48,NTS-h1_default_model,3,0
49,NTS-h1_default_model,1,0
49,NTS-h1_default_model,2,0
49,NTS-h1_default_model,3,0
50,NTS-h1_default_model,1,1
50,NTS-h1_default_model,2,1
50,NTS-h1_default_model,3,1
51,NTS-h1_default_model,1,0
51,NTS-h1_default_model,2,0
51,NTS-h1_default_model,3,0
52,NTS-h1_default_model,1,1
52,NTS-h1_default_model,2,1
52,NTS-h1_default_model,3,2
53,NTS-h1_default_model,1,0
53,NTS-h1_default_model,2,0
53,NTS-h1_default_model,3,0
54,NTS-h1_default_model,1,2
54,NTS-h1_default_model,2,1
54,NTS-h1_default_model,3,2
55,NTS-h1_default_model,1,1
55,NTS-h1_default_model,2,2
55,NTS-h1_default_model,3,2
56,NTS-h1_default_model,1,0
56,NTS-h1_default_model,2,0
56,NTS-h1_default_model,3,0
57,NTS-h1_default_model,1,0
57,NTS-h1_default_model,2,0
57,NTS-h1_default_model,3,0
58,NTS-h1_default_model,1,0
58,NTS-h1_default_model,2,0
58,NTS-h1_default_model,3,0
59,NTS-h1_default_model,1,0
59,NTS-h1_default_model,2,0
59,NTS-h1_default_model,3,0
60,NTS-h1_default_model,1,0
60,NTS-h1_default_model,2,0
60,NTS-h1_default_model,3,0
61,NTS-h1_default_model,1,1
61,NTS-h1_default_model,2,0
61,NTS-h1_default_model,3,1
62,NTS-h1_default_model,1,0
62,NTS-h1_default_model,2,0
62,NTS-h1_default_model,3,0
63,NTS-h1_default_model,1,0
63,NTS-h1_default_model,2,0
63,NTS-h1_default_model,3,0
64,NTS-h1_default_model,1,0
64,NTS-h1_default_model,2,0
64,NTS-h1_default_model,3,0
65,NTS-h1_default_model,1,0
65,NTS-h1_default_model,2,0
65,NTS-h1_default_model,3,0
66,NTS-h1_default_model,1,2
66,NTS-h1_default_model,2,0
66,NTS-h1_default_model,3,-1
67,NTS-h1_default_model,1,1
67,NTS-h1_default_model,2,2
67,NTS-h1_default_model,3,2
68,NTS-h1_default_model,1,0
68,NTS-h1_default_model,2,0
68,NTS-h1_default_model,3,0
69,NTS-h1_default_model,1,1
69,NTS-h1_default_model,2,0
69,NTS-h1_default_model,3,2
70,NTS-h1_default_model,1,0
70,NTS-h1_default_model,2,0
70,NTS-h1_default_model,3,0
1,NTS-h1_w2v_model,1,0
1,NTS-h1_w2v_model,2,0
1,NTS-h1_w2v_model,3,0
2,NTS-h1_w2v_model,1,1
2,NTS-h1_w2v_model,2,1
2,NTS-h1_w2v_model,3,1
3,NTS-h1_w2v_model,1,0
3,NTS-h1_w2v_model,2,0
3,NTS-h1_w2v_model,3,0
4,NTS-h1_w2v_model,1,0
4,NTS-h1_w2v_model,2,0
4,NTS-h1_w2v_model,3,0
5,NTS-h1_w2v_model,1,0
5,NTS-h1_w2v_model,2,0
5,NTS-h1_w2v_model,3,-1
6,NTS-h1_w2v_model,1,0
6,NTS-h1_w2v_model,2,0
6,NTS-h1_w2v_model,3,0
7,NTS-h1_w2v_model,1,0
7,NTS-h1_w2v_model,2,0
7,NTS-h1_w2v_model,3,1
8,NTS-h1_w2v_model,1,0
8,NTS-h1_w2v_model,2,0
8,NTS-h1_w2v_model,3,0
9,NTS-h1_w2v_model,1,0
9,NTS-h1_w2v_model,2,1
9,NTS-h1_w2v_model,3,1
10,NTS-h1_w2v_model,1,1
10,NTS-h1_w2v_model,2,1
10,NTS-h1_w2v_model,3,2
11,NTS-h1_w2v_model,1,0
11,NTS-h1_w2v_model,2,0
11,NTS-h1_w2v_model,3,0
12,NTS-h1_w2v_model,1,0
12,NTS-h1_w2v_model,2,0
12,NTS-h1_w2v_model,3,0
13,NTS-h1_w2v_model,1,1
13,NTS-h1_w2v_model,2,1
13,NTS-h1_w2v_model,3,2
14,NTS-h1_w2v_model,1,0
14,NTS-h1_w2v_model,2,0
14,NTS-h1_w2v_model,3,0
15,NTS-h1_w2v_model,1,0
15,NTS-h1_w2v_model,2,0
15,NTS-h1_w2v_model,3,0
16,NTS-h1_w2v_model,1,0
